"Exporter","Importer",2013,2014,2015,2016,2017,2018,2019,2020
124,9,3506,3384,3172,3238,3457,3505,0,0
139,9,101,81,92,97,105,143,164,0
140,9,124,191,200,149,143,169,170,0
142,9,34,37,50,37,59,48,53,0
143,9,88,84,61,59,78,150,107,0
153,9,13,13,16,11,15,17,18,0
156,9,9507,10323,9419,10372,13501,15480,17980,0
157,9,9,152,14,16,20,23,18,0
158,9,16,18,14,19,25,27,26,0
163,9,766,797,750,738,982,1090,1041,0
167,9,563,430,436,481,527,761,640,0
168,9,1827,1572,1332,1414,1276,1396,0,0
185,9,10646,8196,9306,8445,8550,9771,9911,6979
186,9,21544,22034,22993,22924,23000,22913,21850,15114
2,10,0,0,0,0,44,44,55,0
17,10,963,1022,918,1194,1252,1231,1252,1290
23,10,0,0,113,130,137,170,185,0
27,10,285,237,187,207,205,229,260,0
33,10,151,170,167,159,160,216,211,0
43,10,1212,1165,1052,1087,1177,1278,1358,809
45,10,65,44,48,45,66,80,75,42
46,10,875,810,660,698,728,730,829,682
47,10,342,316,190,178,190,185,224,0
57,10,59,67,49,51,56,61,89,63
60,10,623,472,493,499,678,784,1108,770
61,10,1364,1501,935,1229,1011,1345,1329,909
65,10,9650,11088,9633,10199,11253,12374,12166,9867
67,10,457,481,425,404,457,591,638,0
75,10,0,0,0,0,0,0,0,0
76,10,1908,2089,1901,1833,1933,2247,2304,2328
77,10,20,25,23,26,45,45,34,0
82,10,883,967,911,954,1055,1429,1487,1723
84,10,3019,3007,2596,2619,2940,3243,3353,2287
95,10,76,73,48,54,59,78,48,57
100,10,140,193,0,0,302,370,447,420
101,10,624,727,670,624,660,686,684,0
105,10,164,171,128,135,155,180,181,154
108,10,118,0,0,0,256,0,0,0
123,10,1300,1264,1143,1206,1487,1812,2052,1807
139,10,927,949,902,944,1059,1243,1311,1239
140,10,242,498,292,235,287,301,296,157
142,10,1009,1205,1090,1171,1404,1609,1745,1462
143,10,787,631,486,438,448,463,453,0
153,10,274,307,262,254,282,313,308,300
157,10,738,596,549,746,828,817,830,0
158,10,1010,1093,978,1044,1189,1359,1402,1161
163,10,910,935,873,1168,1296,1352,1312,0
167,10,1018,1391,1128,1171,1318,1137,1157,948
168,10,1471,1613,1436,1328,1437,1451,0,0
185,10,1022,1175,1292,1412,1577,1822,1954,1364
186,10,1596,1666,1696,1636,1593,1870,1776,1057
2,11,0,0,0,0,0,0,0,0
10,11,72,66,37,38,34,31,31,0
17,11,54,126,103,56,34,41,35,0
23,11,0,0,0,0,0,0,0,0
27,11,8,8,7,5,5,7,7,0
43,11,1,1,1,1,1,1,1,0
45,11,3,3,0,0,0,0,0,0
46,11,398,243,124,166,29,57,14,0
47,11,10,10,11,8,24,9,8,0
57,11,5,11,6,5,6,3,10,0
60,11,20,20,8,10,10,9,12,0
61,11,98,66,108,79,133,72,62,0
67,11,5,5,11,2,4,4,4,0
76,11,3,6,4,4,9,4,5,0
77,11,0,0,0,0,0,0,0,0
84,11,41,58,56,130,241,327,59,0
95,11,9,12,9,11,10,7,9,0
100,11,4,7,3,6,6,0,4,0
101,11,21,17,19,13,17,11,25,0
108,11,0,0,0,0,10,0,0,0
123,11,129,110,339,146,157,136,211,0
139,11,7,5,7,6,7,8,9,0
140,11,1,1,1,1,2,2,2,0
142,11,8,11,4,1,1,1,0,0
143,11,527,419,305,301,363,435,473,0
153,11,3,4,3,2,2,1,7,0
157,11,0,5,1,1,4,3,0,0
158,11,1,1,1,0,1,1,1,0
167,11,24,34,53,25,15,16,24,0
185,11,441,1387,619,0,0,0,0,0
2,12,0,0,0,0,0,0,0,0
10,12,1,1,2,3,1,4,3,0
17,12,44,29,33,402,60,30,27,0
23,12,0,0,0,0,0,0,0,0
27,12,1,1,1,0,0,1,1,0
33,12,230,196,101,99,114,196,198,0
43,12,9,2,2,2,2,2,3,0
45,12,1,3,7,6,6,6,6,0
46,12,0,0,0,0,0,0,0,0
47,12,44,79,52,57,65,25,42,0
57,12,2,3,2,1,1,1,2,0
60,12,60,29,28,30,5,6,8,0
61,12,56,52,42,24,35,30,45,0
65,12,141,157,131,75,60,41,49,0
67,12,49,36,29,25,28,24,25,0
76,12,0,0,0,1,1,3,3,0
77,12,0,0,0,0,0,0,0,0
82,12,21,0,38,80,35,26,22,0
84,12,5,8,18,6,9,10,12,0
95,12,1,3,2,2,2,1,3,0
100,12,1,1,2,1,1,0,0,0
101,12,112,80,75,136,105,122,113,0
108,12,0,0,0,0,27,0,0,0
123,12,27,15,25,18,28,30,50,0
139,12,9,5,6,3,5,9,6,0
140,12,19,12,8,4,8,7,9,0
142,12,5,1,0,0,0,3,2,0
143,12,46,35,21,14,18,12,78,0
153,12,0,0,0,0,0,1,1,0
157,12,0,0,0,0,0,0,0,0
158,12,0,0,0,0,0,0,0,0
167,12,14,13,13,20,25,9,23,0
185,12,297,224,191,0,0,0,0,0
2,13,0,0,0,0,0,0,0,0
10,13,20,23,17,19,17,19,27,0
17,13,66,90,42,51,42,18,7,0
23,13,0,0,0,11,10,9,10,0
27,13,1,1,0,0,0,0,0,0
43,13,0,1,0,3,0,0,0,0
45,13,8,7,19,2,3,4,3,0
46,13,3,1,2,2,2,59,2,0
47,13,40,53,34,28,39,48,72,0
57,13,0,0,0,1,0,1,1,0
60,13,13,12,38,11,9,11,7,0
61,13,94,242,271,242,176,93,200,0
65,13,88,170,103,0,0,0,0,0
67,13,85,146,42,14,18,26,29,0
75,13,0,0,0,0,0,0,0,0
76,13,3,1,3,2,1,1,2,0
77,13,0,0,0,0,1,0,0,0
