Exporter,Importer,Lookup,2013,2014,2015,2016,2017,2018,2019,2020
Croatia,Australia,CroatiaAustralia,38,58,71,118,96,96,123,
Cyprus,Australia,CyprusAustralia,23,20,21,18,53,64,72,
Czech Republic,Australia,Czech RepublicAustralia,71,77,80,80,84,84,80,
Denmark,Australia,DenmarkAustralia,835,936,734,687,723,852,802,
Estonia,Australia,EstoniaAustralia,20,23,51,17,14,23,35,
Finland,Australia,FinlandAustralia,205,242,234,234,253,269,442,
France,Australia,FranceAustralia,2719,2254,2134,2028,2128,2241,1994,
Germany,Australia,GermanyAustralia,2445,2470,2191,2163,2584,2723,2560,
Greece,Australia,GreeceAustralia,304,394,746,633,1119,1253,1120,
Hong Kong,Australia,Hong KongAustralia,2707,2654,2445,2284,2433,2660,2439,
Hungary,Australia,HungaryAustralia,65,60,76,96,100,92,88,
Iceland,Australia,IcelandAustralia,24,35,40,62,77,79,84,
Ireland,Australia,IrelandAustralia,2288,2765,2975,3138,3758,5467,5736,
Italy,Australia,ItalyAustralia,1570,1561,1439,1590,1705,1755,1570,
Japan,Australia,JapanAustralia,,2942,2384,2680,2862,2903,,
Latvia,Australia,LatviaAustralia,5,3,3,2,5,6,10,
Lithuania,Australia,LithuaniaAustralia,9,8,,,11,,16,
Luxembourg,Australia,LuxembourgAustralia,282,303,332,334,397,406,386,
Malaysia,Australia,MalaysiaAustralia,1630,1574,1159,907,1039,852,1262,607
Malta,Australia,MaltaAustralia,35,,,,130,,,
Netherlands,Australia,NetherlandsAustralia,2697,2075,1761,2104,2733,2592,,
New Zealand,Australia,New ZealandAustralia,3506,3384,3172,3238,3457,3505,,
Poland,Australia,PolandAustralia,101,81,92,97,105,143,164,
Portugal,Australia,PortugalAustralia,124,191,200,149,143,169,170,
Romania,Australia,RomaniaAustralia,34,37,50,37,59,48,53,
Russian Federation,Australia,Russian FederationAustralia,88,84,61,59,78,150,107,
Serbia,Australia,SerbiaAustralia,13,13,16,11,15,17,18,
Singapore,Australia,SingaporeAustralia,9507,10323,9419,10372,13501,15480,17980,
Slovakia,Australia,SlovakiaAustralia,9,152,14,16,20,23,18,
Slovenia,Australia,SloveniaAustralia,16,18,14,19,25,27,26,
Spain,Australia,SpainAustralia,766,797,750,738,982,1090,1041,
Sweden,Australia,SwedenAustralia,563,430,436,481,527,761,640,
Switzerland,Australia,SwitzerlandAustralia,1827,1572,1332,1414,1276,1396,,
United Kingdom,Australia,United KingdomAustralia,10646,8196,9306,8445,8550,9771,9911,6979
United States,Australia,United StatesAustralia,21544,22034,22993,22924,23000,22913,21850,15114
Albania,Austria,AlbaniaAustria,,,,,44,44,55,
Belgium,Austria,BelgiumAustria,963,1022,918,1194,1252,1231,1252,1290
Bosnia and Herzegovina,Austria,Bosnia and HerzegovinaAustria,,,113,130,137,170,185,
Bulgaria,Austria,BulgariaAustria,285,237,187,207,205,229,260,
Canada,Austria,CanadaAustria,151,170,167,159,160,216,211,
Croatia,Austria,CroatiaAustria,1212,1165,1052,1087,1177,1278,1358,809
Cyprus,Austria,CyprusAustria,65,44,48,45,66,80,75,42
Czech Republic,Austria,Czech RepublicAustria,875,810,660,698,728,730,829,682
Denmark,Austria,DenmarkAustria,342,316,190,178,190,185,224,
Estonia,Austria,EstoniaAustria,59,67,49,51,56,61,89,63
