Exporter,Importer,Lookup,2013,2014,2015,2016,2017,2018,2019,2020
Denmark,Lithuania,DenmarkLithuania,284,273,229,208,257,229,272,286
Estonia,Lithuania,EstoniaLithuania,198,237,182,200,232,278,253,268
Finland,Lithuania,FinlandLithuania,88,84,74,85,112,145,149,98
France,Lithuania,FranceLithuania,81,70,69,61,72,213,206,224
Germany,Lithuania,GermanyLithuania,216,276,298,322,387,517,684,
Greece,Lithuania,GreeceLithuania,39,48,52,51,65,73,86,
Hungary,Lithuania,HungaryLithuania,72,72,51,53,74,74,71,29
Iceland,Lithuania,IcelandLithuania,13,5,5,5,8,7,9,
Ireland,Lithuania,IrelandLithuania,110,113,122,116,116,148,179,
Italy,Lithuania,ItalyLithuania,209,171,130,204,187,238,204,161
Latvia,Lithuania,LatviaLithuania,301,432,388,366,423,407,523,461
Luxembourg,Lithuania,LuxembourgLithuania,31,43,31,28,29,30,35,
Malta,Lithuania,MaltaLithuania,12,,,,14,,,
Netherlands,Lithuania,NetherlandsLithuania,99,245,149,157,199,248,282,274
Poland,Lithuania,PolandLithuania,567,526,448,480,548,702,761,599
Portugal,Lithuania,PortugalLithuania,16,15,13,18,24,30,35,19
Romania,Lithuania,RomaniaLithuania,26,27,41,43,52,58,57,44
Russian Federation,Lithuania,Russian FederationLithuania,666,630,364,335,377,433,347,
Serbia,Lithuania,SerbiaLithuania,11,8,6,7,10,13,16,20
Slovakia,Lithuania,SlovakiaLithuania,10,14,15,17,20,11,14,
Slovenia,Lithuania,SloveniaLithuania,12,9,10,12,13,15,14,12
Spain,Lithuania,SpainLithuania,179,136,113,173,159,177,179,
Sweden,Lithuania,SwedenLithuania,171,196,201,257,251,219,203,176
United Kingdom,Lithuania,United KingdomLithuania,205,258,231,252,255,362,400,245
United States,Lithuania,United StatesLithuania,142,176,192,210,253,243,244,132
Albania,Luxembourg,AlbaniaLuxembourg,,,,,4,4,6,
Austria,Luxembourg,AustriaLuxembourg,486,526,427,517,583,645,682,639
Belgium,Luxembourg,BelgiumLuxembourg,5081,5942,4937,4746,5193,5698,5989,5765
Bosnia and Herzegovina,Luxembourg,Bosnia and HerzegovinaLuxembourg,,,4,6,8,7,8,
Bulgaria,Luxembourg,BulgariaLuxembourg,42,31,33,25,23,25,62,
Croatia,Luxembourg,CroatiaLuxembourg,23,22,20,21,22,23,26,23
Cyprus,Luxembourg,CyprusLuxembourg,39,68,89,,,163,174,
Czech Republic,Luxembourg,Czech RepublicLuxembourg,132,207,207,231,206,202,179,220
Denmark,Luxembourg,DenmarkLuxembourg,202,169,155,167,259,344,593,
Estonia,Luxembourg,EstoniaLuxembourg,24,22,22,29,24,27,33,27
Finland,Luxembourg,FinlandLuxembourg,193,174,155,143,177,163,157,142
France,Luxembourg,FranceLuxembourg,8545,7639,6950,7872,6892,9116,10161,8518
Germany,Luxembourg,GermanyLuxembourg,8193,10332,9246,10103,11856,12600,13287,13895
Greece,Luxembourg,GreeceLuxembourg,180,223,199,243,234,218,282,
Hong Kong,Luxembourg,Hong KongLuxembourg,669,689,697,696,809,852,886,
Hungary,Luxembourg,HungaryLuxembourg,238,179,186,231,259,255,242,207
Iceland,Luxembourg,IcelandLuxembourg,15,18,13,16,15,17,26,
Ireland,Luxembourg,IrelandLuxembourg,1454,-4020,2216,2031,2521,3114,2916,3847
Italy,Luxembourg,ItalyLuxembourg,2337,2697,2432,2397,3399,3430,5013,6297
Japan,Luxembourg,JapanLuxembourg,,779,721,504,437,538,,
Latvia,Luxembourg,LatviaLuxembourg,11,17,18,18,19,17,46,50
Lithuania,Luxembourg,LithuaniaLuxembourg,36,40,,51,65,80,106,81
Malta,Luxembourg,MaltaLuxembourg,25,,,,,,,
Netherlands,Luxembourg,NetherlandsLuxembourg,1262,1890,1809,2641,3040,3316,3530,2826
New Zealand,Luxembourg,New ZealandLuxembourg,2,2,2,2,4,4,,
Poland,Luxembourg,PolandLuxembourg,382,546,756,788,1027,1306,958,1944
Portugal,Luxembourg,PortugalLuxembourg,363,450,386,456,476,566,554,485
Romania,Luxembourg,RomaniaLuxembourg,129,170,180,218,261,324,403,455
Russian Federation,Luxembourg,Russian FederationLuxembourg,597,705,884,1588,1398,1654,1032,
Serbia,Luxembourg,SerbiaLuxembourg,16,24,18,25,39,53,88,58
Slovakia,Luxembourg,SlovakiaLuxembourg,36,43,64,69,118,129,162,
Slovenia,Luxembourg,SloveniaLuxembourg,100,93,108,154,283,302,301,274
Spain,Luxembourg,SpainLuxembourg,915,1433,1397,1416,1716,1871,1921,
Sweden,Luxembourg,SwedenLuxembourg,787,1069,983,832,789,849,671,619
Switzerland,Luxembourg,SwitzerlandLuxembourg,2299,2259,3022,2862,2932,3109,,
United Kingdom,Luxembourg,United KingdomLuxembourg,5009,4890,4997,5368,5695,6575,7614,6928
United States,Luxembourg,United StatesLuxembourg,7237,7427,7240,6754,7399,8089,7692,7100
Albania,Macao,AlbaniaMacao,,,,,0,0,,
Austria,Macao,AustriaMacao,3,3,3,7,1,1,1,
Belgium,Macao,BelgiumMacao,-15,5,11,3,2,4,10,
Bosnia and Herzegovina,Macao,Bosnia and HerzegovinaMacao,,,0,0,0,0,0,
Bulgaria,Macao,BulgariaMacao,0,0,0,0,0,0,0,
China,Macao,ChinaMacao,,,5072,4079,,,,
Croatia,Macao,CroatiaMacao,0,0,0,0,0,0,0,
Cyprus,Macao,CyprusMacao,0,0,0,,0,0,,
Czech Republic,Macao,Czech RepublicMacao,0,0,3,0,0,0,0,
Denmark,Macao,DenmarkMacao,6,2,1,2,3,7,2,
Estonia,Macao,EstoniaMacao,0,0,0,0,0,0,0,
Finland,Macao,FinlandMacao,0,0,2,2,2,2,2,
France,Macao,FranceMacao,4,5,,4,3,26,25,
Germany,Macao,GermanyMacao,,,,38,29,33,35,
Greece,Macao,GreeceMacao,0,0,0,0,0,2,1,
Hong Kong,Macao,Hong KongMacao,1082,1057,903,854,882,945,914,
Hungary,Macao,HungaryMacao,1,1,4,2,1,0,0,
Iceland,Macao,IcelandMacao,0,0,0,1,2,2,1,
Ireland,Macao,IrelandMacao,,,,41,19,17,15,
Italy,Macao,ItalyMacao,12,10,9,9,12,14,16,
Latvia,Macao,LatviaMacao,1,0,0,0,0,0,0,
Lithuania,Macao,LithuaniaMacao,0,0,0,0,,,0,
Luxembourg,Macao,LuxembourgMacao,78,69,54,87,99,34,21,
Netherlands,Macao,NetherlandsMacao,7,42,7,13,19,22,18,
Poland,Macao,PolandMacao,0,1,2,1,1,0,0,
Portugal,Macao,PortugalMacao,17,24,23,25,25,28,27,
Romania,Macao,RomaniaMacao,0,1,1,5,0,0,0,
Russian Federation,Macao,Russian FederationMacao,1,1,1,1,1,1,2,
Serbia,Macao,SerbiaMacao,0,0,0,0,0,0,0,
Slovakia,Macao,SlovakiaMacao,0,0,0,0,0,0,2,
Slovenia,Macao,SloveniaMacao,0,0,0,0,0,0,0,
Sweden,Macao,SwedenMacao,0,0,4,0,8,2,0,
United Kingdom,Macao,United KingdomMacao,39,28,226,,,,,
Albania,Madagascar,AlbaniaMadagascar,,,,,0,1,,
Austria,Madagascar,AustriaMadagascar,0,0,0,0,1,0,0,
Belgium,Madagascar,BelgiumMadagascar,8,5,6,4,5,7,4,
Bosnia and Herzegovina,Madagascar,Bosnia and HerzegovinaMadagascar,,,0,0,0,0,0,
Bulgaria,Madagascar,BulgariaMadagascar,0,0,0,0,0,0,0,
Croatia,Madagascar,CroatiaMadagascar,0,0,0,0,0,0,1,
Cyprus,Madagascar,CyprusMadagascar,0,0,0,0,,,0,
Czech Republic,Madagascar,Czech RepublicMadagascar,0,0,0,0,0,1,0,
Denmark,Madagascar,DenmarkMadagascar,4,3,10,12,12,12,12,
Estonia,Madagascar,EstoniaMadagascar,0,0,0,0,0,0,0,
Finland,Madagascar,FinlandMadagascar,4,1,2,1,2,1,1,
France,Madagascar,FranceMadagascar,135,175,116,120,190,363,319,
Germany,Madagascar,GermanyMadagascar,8,9,10,12,10,15,13,
Greece,Madagascar,GreeceMadagascar,0,2,17,12,8,10,7,
Hungary,Madagascar,HungaryMadagascar,0,0,0,0,0,0,0,
Iceland,Madagascar,IcelandMadagascar,2,3,2,2,2,5,5,
Ireland,Madagascar,IrelandMadagascar,,0,0,3,,,,
Italy,Madagascar,ItalyMadagascar,2,1,3,1,1,2,1,
Latvia,Madagascar,LatviaMadagascar,0,0,0,0,0,1,0,
Lithuania,Madagascar,LithuaniaMadagascar,0,0,0,0,0,,0,
Luxembourg,Madagascar,LuxembourgMadagascar,4,7,6,19,24,19,21,
Malta,Madagascar,MaltaMadagascar,,,,,,,,
Netherlands,Madagascar,NetherlandsMadagascar,15,22,6,3,2,2,2,
Poland,Madagascar,PolandMadagascar,0,0,1,1,0,0,0,
Portugal,Madagascar,PortugalMadagascar,0,0,0,0,0,0,0,
Romania,Madagascar,RomaniaMadagascar,0,0,1,1,0,0,0,
Russian Federation,Madagascar,Russian FederationMadagascar,0,0,0,0,0,0,3,
Serbia,Madagascar,SerbiaMadagascar,0,0,0,0,0,0,0,
Slovakia,Madagascar,SlovakiaMadagascar,0,0,0,0,0,0,0,
Slovenia,Madagascar,SloveniaMadagascar,1,0,0,1,1,0,0,
Sweden,Madagascar,SwedenMadagascar,10,15,13,10,6,12,21,
United Kingdom,Madagascar,United KingdomMadagascar,38,53,14,,,,,
Albania,Malawi,AlbaniaMalawi,,,,,0,0,,
Austria,Malawi,AustriaMalawi,0,0,0,2,0,37,6,
Belgium,Malawi,BelgiumMalawi,1,1,3,3,2,6,8,
Bosnia and Herzegovina,Malawi,Bosnia and HerzegovinaMalawi,,,0,0,0,0,0,
Bulgaria,Malawi,BulgariaMalawi,0,0,0,0,0,0,0,
Croatia,Malawi,CroatiaMalawi,0,0,0,0,0,0,0,
Cyprus,Malawi,CyprusMalawi,0,0,0,0,0,0,0,
Czech Republic,Malawi,Czech RepublicMalawi,0,1,1,1,1,1,1,
Denmark,Malawi,DenmarkMalawi,7,9,4,5,6,4,3,
Estonia,Malawi,EstoniaMalawi,0,,0,0,0,0,,
Finland,Malawi,FinlandMalawi,3,1,1,1,3,5,2,
France,Malawi,FranceMalawi,,,,,9,,,
Germany,Malawi,GermanyMalawi,11,13,16,11,12,15,10,
Greece,Malawi,GreeceMalawi,0,0,0,0,0,0,0,
Hungary,Malawi,HungaryMalawi,0,0,0,0,0,0,0,
Iceland,Malawi,IcelandMalawi,0,0,0,0,0,0,0,
Ireland,Malawi,IrelandMalawi,0,0,0,1,0,0,,
Italy,Malawi,ItalyMalawi,2,0,0,0,0,0,1,
Latvia,Malawi,LatviaMalawi,0,0,0,0,0,0,0,
Lithuania,Malawi,LithuaniaMalawi,0,0,0,0,0,,0,
Luxembourg,Malawi,LuxembourgMalawi,7,3,1,0,1,1,0,
Malta,Malawi,MaltaMalawi,0,,,,,,,
Netherlands,Malawi,NetherlandsMalawi,4,7,3,1,1,1,2,
Poland,Malawi,PolandMalawi,0,0,1,0,0,0,0,
Portugal,Malawi,PortugalMalawi,3,1,0,1,1,0,0,
Romania,Malawi,RomaniaMalawi,,,0,0,1,0,0,
Russian Federation,Malawi,Russian FederationMalawi,0,0,0,0,0,0,0,
Serbia,Malawi,SerbiaMalawi,0,0,0,0,0,0,0,
Slovakia,Malawi,SlovakiaMalawi,0,0,0,0,0,0,0,
Slovenia,Malawi,SloveniaMalawi,0,0,0,0,0,0,0,
Sweden,Malawi,SwedenMalawi,4,2,2,2,1,2,2,
United Kingdom,Malawi,United KingdomMalawi,12,16,21,,,,,
Albania,Malaysia,AlbaniaMalaysia,,,,,1,3,2,
Australia,Malaysia,AustraliaMalaysia,1880,2005,1782,1771,2002,1968,,
Austria,Malaysia,AustriaMalaysia,65,64,43,35,108,67,39,
Belgium,Malaysia,BelgiumMalaysia,118,117,116,102,113,122,121,
Bosnia and Herzegovina,Malaysia,Bosnia and HerzegovinaMalaysia,,,0,0,7,11,11,
Bulgaria,Malaysia,BulgariaMalaysia,4,6,6,7,13,6,6,
Canada,Malaysia,CanadaMalaysia,253,269,227,149,183,228,231,
Croatia,Malaysia,CroatiaMalaysia,5,3,4,5,9,14,17,
Cyprus,Malaysia,CyprusMalaysia,5,15,11,,,8,15,
Czech Republic,Malaysia,Czech RepublicMalaysia,13,16,13,12,14,13,17,
Denmark,Malaysia,DenmarkMalaysia,279,254,232,206,219,267,248,
Estonia,Malaysia,EstoniaMalaysia,,,4,5,3,2,3,
Finland,Malaysia,FinlandMalaysia,41,73,57,41,45,57,120,
France,Malaysia,FranceMalaysia,1242,1149,834,724,818,540,427,
Germany,Malaysia,GermanyMalaysia,655,660,604,630,,774,691,
Greece,Malaysia,GreeceMalaysia,15,36,127,109,110,137,183,
Hong Kong,Malaysia,Hong KongMalaysia,1317,1346,1199,1032,1062,1180,1044,
Hungary,Malaysia,HungaryMalaysia,11,,,15,19,22,36,
Iceland,Malaysia,IcelandMalaysia,1,10,4,7,10,10,10,
Ireland,Malaysia,IrelandMalaysia,316,,266,331,393,848,956,
Italy,Malaysia,ItalyMalaysia,218,145,91,108,155,186,166,
Japan,Malaysia,JapanMalaysia,,4232,3347,3342,2856,2366,,
Latvia,Malaysia,LatviaMalaysia,3,0,0,1,0,1,1,
Lithuania,Malaysia,LithuaniaMalaysia,2,,6,,,,1,
Luxembourg,Malaysia,LuxembourgMalaysia,93,100,133,133,117,109,85,
Malta,Malaysia,MaltaMalaysia,,,,,,,,
Netherlands,Malaysia,NetherlandsMalaysia,1309,910,873,599,579,681,794,
New Zealand,Malaysia,New ZealandMalaysia,133,144,147,180,212,216,,
Poland,Malaysia,PolandMalaysia,9,12,15,66,30,18,22,
Portugal,Malaysia,PortugalMalaysia,8,7,10,14,14,8,12,
Romania,Malaysia,RomaniaMalaysia,8,,6,,,,18,
Russian Federation,Malaysia,Russian FederationMalaysia,66,64,64,49,45,57,89,
Serbia,Malaysia,SerbiaMalaysia,0,0,0,0,0,1,1,
Singapore,Malaysia,SingaporeMalaysia,3657,3962,3921,4184,4409,5307,5465,
Slovakia,Malaysia,SlovakiaMalaysia,2,2,2,3,8,7,3,
Slovenia,Malaysia,SloveniaMalaysia,2,3,2,4,3,4,3,
Spain,Malaysia,SpainMalaysia,93,113,105,142,134,200,208,
Sweden,Malaysia,SwedenMalaysia,104,69,68,68,117,94,87,
Switzerland,Malaysia,SwitzerlandMalaysia,278,305,312,429,439,427,,
United Kingdom,Malaysia,United KingdomMalaysia,1524,1512,1633,1326,1281,1207,1454,1262
United States,Malaysia,United StatesMalaysia,2536,2855,2952,3189,3664,3322,3083,2081
Albania,Maldives,AlbaniaMaldives,,,,,0,0,,
Austria,Maldives,AustriaMaldives,0,1,1,1,1,0,0,
Belgium,Maldives,BelgiumMaldives,1,12,7,2,3,4,2,
Bosnia and Herzegovina,Maldives,Bosnia and HerzegovinaMaldives,,,0,0,0,0,0,
Bulgaria,Maldives,BulgariaMaldives,0,0,0,0,0,0,0,
Croatia,Maldives,CroatiaMaldives,0,0,0,0,0,0,0,
Cyprus,Maldives,CyprusMaldives,0,0,,0,0,,0,
Czech Republic,Maldives,Czech RepublicMaldives,3,4,2,2,2,1,0,
Denmark,Maldives,DenmarkMaldives,3,1,1,1,0,0,3,
Estonia,Maldives,EstoniaMaldives,0,0,0,0,0,0,0,
Finland,Maldives,FinlandMaldives,0,0,1,1,1,2,1,
France,Maldives,FranceMaldives,7,5,4,3,1,1,1,
Germany,Maldives,GermanyMaldives,7,13,11,18,,,11,
Greece,Maldives,GreeceMaldives,0,0,2,3,5,3,4,
Hungary,Maldives,HungaryMaldives,0,0,0,0,0,0,0,
Iceland,Maldives,IcelandMaldives,0,0,0,0,0,0,0,
Ireland,Maldives,IrelandMaldives,,,,,8,4,8,
Italy,Maldives,ItalyMaldives,4,3,3,3,4,9,2,
Latvia,Maldives,LatviaMaldives,0,0,0,0,0,0,0,
Lithuania,Maldives,LithuaniaMaldives,0,0,0,0,0,,0,
Luxembourg,Maldives,LuxembourgMaldives,12,11,8,2,0,1,0,
Malta,Maldives,MaltaMaldives,0,,,,,,,
Netherlands,Maldives,NetherlandsMaldives,16,68,24,25,30,32,29,
Poland,Maldives,PolandMaldives,0,0,0,1,1,0,0,
Portugal,Maldives,PortugalMaldives,0,0,0,0,0,0,0,
Romania,Maldives,RomaniaMaldives,,0,0,0,0,0,0,
Russian Federation,Maldives,Russian FederationMaldives,1,1,2,3,3,4,3,
Serbia,Maldives,SerbiaMaldives,0,0,0,0,0,0,0,
Slovakia,Maldives,SlovakiaMaldives,0,0,0,0,0,0,0,
Slovenia,Maldives,SloveniaMaldives,0,0,0,0,0,0,0,
Sweden,Maldives,SwedenMaldives,4,4,3,13,3,2,1,
United Kingdom,Maldives,United KingdomMaldives,41,31,24,,,,,
Albania,Mali,AlbaniaMali,,,,,0,0,,
Austria,Mali,AustriaMali,0,0,1,1,1,2,1,
Belgium,Mali,BelgiumMali,5,15,8,10,11,11,10,
Bosnia and Herzegovina,Mali,Bosnia and HerzegovinaMali,,,0,0,0,0,0,
Bulgaria,Mali,BulgariaMali,0,0,0,0,0,0,0,
Croatia,Mali,CroatiaMali,0,0,0,0,0,0,0,
Cyprus,Mali,CyprusMali,0,0,0,0,0,0,0,
Czech Republic,Mali,Czech RepublicMali,0,0,0,0,0,2,1,
Denmark,Mali,DenmarkMali,4,10,8,5,74,51,7,
Estonia,Mali,EstoniaMali,0,0,0,0,0,0,0,
Finland,Mali,FinlandMali,0,5,2,7,3,,7,
France,Mali,FranceMali,117,146,123,259,242,183,168,
Germany,Mali,GermanyMali,,,,20,17,,17,
Greece,Mali,GreeceMali,0,0,0,0,0,0,0,
Hungary,Mali,HungaryMali,0,0,0,0,0,0,0,
Iceland,Mali,IcelandMali,0,0,0,0,0,0,0,
Ireland,Mali,IrelandMali,0,0,0,0,,0,0,
Italy,Mali,ItalyMali,1,4,3,1,10,4,2,
Latvia,Mali,LatviaMali,0,0,0,0,0,0,0,
Lithuania,Mali,LithuaniaMali,0,0,0,0,0,,0,
Luxembourg,Mali,LuxembourgMali,4,4,4,4,5,6,8,
Netherlands,Mali,NetherlandsMali,92,37,24,18,13,11,5,
Poland,Mali,PolandMali,0,0,0,6,1,0,0,
Portugal,Mali,PortugalMali,0,0,1,1,1,1,0,
Romania,Mali,RomaniaMali,1,0,1,1,0,1,2,
Russian Federation,Mali,Russian FederationMali,3,4,8,38,30,34,0,
Serbia,Mali,SerbiaMali,0,0,0,0,0,0,0,
Slovakia,Mali,SlovakiaMali,0,0,0,0,0,0,0,
Slovenia,Mali,SloveniaMali,0,0,0,0,0,0,0,
Sweden,Mali,SwedenMali,3,5,2,12,12,6,120,
United Kingdom,Mali,United KingdomMali,56,82,28,,,,,
Albania,Malta,AlbaniaMalta,,,,,5,10,2,
Austria,Malta,AustriaMalta,130,150,141,169,228,234,263,273
Belgium,Malta,BelgiumMalta,58,90,116,96,127,129,166,133
Bosnia and Herzegovina,Malta,Bosnia and HerzegovinaMalta,,,2,2,2,3,2,
Bulgaria,Malta,BulgariaMalta,8,11,10,20,35,61,82,
Croatia,Malta,CroatiaMalta,7,7,8,11,17,28,32,35
Cyprus,Malta,CyprusMalta,16,23,30,49,82,106,137,95
Czech Republic,Malta,Czech RepublicMalta,12,18,15,20,33,37,61,199
Denmark,Malta,DenmarkMalta,73,128,95,70,103,100,132,
Estonia,Malta,EstoniaMalta,22,26,26,32,48,71,65,72
Finland,Malta,FinlandMalta,23,31,24,37,44,32,36,37
France,Malta,FranceMalta,268,418,414,168,124,190,184,115
Germany,Malta,GermanyMalta,254,308,368,400,424,523,497,368
Greece,Malta,GreeceMalta,89,78,284,225,211,241,244,
Hungary,Malta,HungaryMalta,5,5,51,54,65,40,36,30
Iceland,Malta,IcelandMalta,2,70,156,127,186,199,215,
Ireland,Malta,IrelandMalta,69,97,133,145,124,171,153,87
Italy,Malta,ItalyMalta,138,164,142,156,171,268,231,230
Latvia,Malta,LatviaMalta,31,35,37,81,28,35,34,42
Lithuania,Malta,LithuaniaMalta,2,3,,,5,27,13,12
Luxembourg,Malta,LuxembourgMalta,183,226,223,205,169,260,246,
Netherlands,Malta,NetherlandsMalta,70,142,120,156,,588,422,356
New Zealand,Malta,New ZealandMalta,1,2,1,2,3,4,,
Poland,Malta,PolandMalta,59,111,87,89,91,132,137,159
Portugal,Malta,PortugalMalta,31,31,29,37,56,84,97,70
Romania,Malta,RomaniaMalta,65,38,30,49,54,90,90,122
Russian Federation,Malta,Russian FederationMalta,166,258,59,75,118,190,313,
Serbia,Malta,SerbiaMalta,4,5,6,11,23,38,41,24
Slovakia,Malta,SlovakiaMalta,9,9,11,9,14,6,14,
Slovenia,Malta,SloveniaMalta,6,5,6,7,11,20,22,22
Spain,Malta,SpainMalta,161,145,178,290,241,383,386,
Sweden,Malta,SwedenMalta,306,182,313,293,463,255,354,366
United Kingdom,Malta,United KingdomMalta,1324,907,542,757,857,879,863,644
United States,Malta,United StatesMalta,519,722,873,1164,1353,1281,888,485
Albania,Marshall Islands,AlbaniaMarshall Islands,,,,,0,0,,
Austria,Marshall Islands,AustriaMarshall Islands,4,5,3,6,5,5,6,
Belgium,Marshall Islands,BelgiumMarshall Islands,56,65,67,100,108,151,130,
Bosnia and Herzegovina,Marshall Islands,Bosnia and HerzegovinaMarshall Islands,,,0,0,0,0,0,
Bulgaria,Marshall Islands,BulgariaMarshall Islands,6,5,8,6,18,17,11,
Croatia,Marshall Islands,CroatiaMarshall Islands,3,9,12,11,9,12,14,
Cyprus,Marshall Islands,CyprusMarshall Islands,32,52,55,70,81,110,107,
Czech Republic,Marshall Islands,Czech RepublicMarshall Islands,0,1,1,1,1,1,6,
Denmark,Marshall Islands,DenmarkMarshall Islands,11,22,33,16,23,51,68,
Estonia,Marshall Islands,EstoniaMarshall Islands,2,5,3,2,4,4,1,
Finland,Marshall Islands,FinlandMarshall Islands,8,9,4,3,0,0,0,
France,Marshall Islands,FranceMarshall Islands,,93,77,108,69,100,94,
Germany,Marshall Islands,GermanyMarshall Islands,251,252,324,293,282,263,277,
Greece,Marshall Islands,GreeceMarshall Islands,28,6,200,217,253,237,241,
Hong Kong,Marshall Islands,Hong KongMarshall Islands,,,37,42,,,,
Hungary,Marshall Islands,HungaryMarshall Islands,0,0,0,0,0,1,0,
Iceland,Marshall Islands,IcelandMarshall Islands,0,0,0,0,0,0,0,
Ireland,Marshall Islands,IrelandMarshall Islands,1,,,,2,1,1,
Italy,Marshall Islands,ItalyMarshall Islands,3,2,13,19,17,10,16,
Latvia,Marshall Islands,LatviaMarshall Islands,20,12,14,11,6,5,3,
Lithuania,Marshall Islands,LithuaniaMarshall Islands,1,1,1,2,1,,2,
Luxembourg,Marshall Islands,LuxembourgMarshall Islands,19,24,12,11,9,18,22,
Malta,Marshall Islands,MaltaMarshall Islands,,,,,2,,,
Netherlands,Marshall Islands,NetherlandsMarshall Islands,34,29,10,7,4,5,10,
Poland,Marshall Islands,PolandMarshall Islands,6,6,5,10,7,5,17,
Portugal,Marshall Islands,PortugalMarshall Islands,1,13,10,7,11,15,15,
Romania,Marshall Islands,RomaniaMarshall Islands,7,6,6,4,4,6,14,
Russian Federation,Marshall Islands,Russian FederationMarshall Islands,45,53,46,56,58,59,52,
Serbia,Marshall Islands,SerbiaMarshall Islands,1,1,1,0,1,1,1,
Slovakia,Marshall Islands,SlovakiaMarshall Islands,0,0,0,0,0,0,0,
Slovenia,Marshall Islands,SloveniaMarshall Islands,1,1,1,1,1,1,1,
Sweden,Marshall Islands,SwedenMarshall Islands,24,35,63,88,47,84,134,
United Kingdom,Marshall Islands,United KingdomMarshall Islands,95,26,64,,,,,
Albania,Mauritania,AlbaniaMauritania,,,,,0,0,,
Austria,Mauritania,AustriaMauritania,0,0,0,0,0,0,0,
Belgium,Mauritania,BelgiumMauritania,24,15,10,9,8,8,10,
Bulgaria,Mauritania,BulgariaMauritania,0,0,0,0,0,0,0,
Croatia,Mauritania,CroatiaMauritania,0,0,0,0,0,0,0,
Cyprus,Mauritania,CyprusMauritania,,,0,0,0,0,,
Czech Republic,Mauritania,Czech RepublicMauritania,0,0,0,0,0,0,0,
Denmark,Mauritania,DenmarkMauritania,29,26,21,18,18,24,23,
Estonia,Mauritania,EstoniaMauritania,,0,,0,0,0,0,
Finland,Mauritania,FinlandMauritania,39,31,3,0,3,8,4,
France,Mauritania,FranceMauritania,66,56,45,62,84,146,,
Germany,Mauritania,GermanyMauritania,13,19,10,11,,8,11,
Greece,Mauritania,GreeceMauritania,1,0,14,13,15,28,16,
Hungary,Mauritania,HungaryMauritania,,0,0,0,0,0,0,
Iceland,Mauritania,IcelandMauritania,0,0,0,0,0,0,0,
Ireland,Mauritania,IrelandMauritania,0,1,0,0,0,1,1,
Italy,Mauritania,ItalyMauritania,1,1,3,0,2,1,4,
Latvia,Mauritania,LatviaMauritania,0,0,0,0,0,0,0,
Lithuania,Mauritania,LithuaniaMauritania,0,,,0,0,,0,
Luxembourg,Mauritania,LuxembourgMauritania,29,15,2,1,0,0,2,
Malta,Mauritania,MaltaMauritania,,,,,0,,,
Netherlands,Mauritania,NetherlandsMauritania,66,19,10,6,6,5,19,
Poland,Mauritania,PolandMauritania,0,0,1,0,0,0,1,
Portugal,Mauritania,PortugalMauritania,0,1,1,2,2,1,1,
Romania,Mauritania,RomaniaMauritania,,,,0,,,,
Russian Federation,Mauritania,Russian FederationMauritania,3,0,0,0,0,4,1,
Serbia,Mauritania,SerbiaMauritania,0,0,0,0,0,0,0,
Slovakia,Mauritania,SlovakiaMauritania,0,0,0,0,0,0,0,
Slovenia,Mauritania,SloveniaMauritania,0,0,0,0,0,0,0,
Sweden,Mauritania,SwedenMauritania,0,0,0,0,0,0,0,
United Kingdom,Mauritania,United KingdomMauritania,56,82,18,,,,,
Albania,Mauritius,AlbaniaMauritius,,,,,0,0,,
Austria,Mauritius,AustriaMauritius,1,3,3,3,2,4,6,
Belgium,Mauritius,BelgiumMauritius,61,60,64,61,79,64,69,
Bosnia and Herzegovina,Mauritius,Bosnia and HerzegovinaMauritius,,,0,0,0,0,0,
Bulgaria,Mauritius,BulgariaMauritius,0,0,0,0,0,0,0,
Croatia,Mauritius,CroatiaMauritius,0,0,0,1,0,0,0,
Cyprus,Mauritius,CyprusMauritius,11,11,10,11,11,13,35,
Czech Republic,Mauritius,Czech RepublicMauritius,2,1,1,1,2,2,2,
Denmark,Mauritius,DenmarkMauritius,57,48,61,101,108,73,70,
Estonia,Mauritius,EstoniaMauritius,0,0,0,1,1,0,0,
Finland,Mauritius,FinlandMauritius,1,1,2,1,1,2,1,
France,Mauritius,FranceMauritius,262,364,200,249,330,328,283,
Germany,Mauritius,GermanyMauritius,45,44,47,51,55,86,87,
Greece,Mauritius,GreeceMauritius,48,32,37,32,39,63,64,
Hong Kong,Mauritius,Hong KongMauritius,,,,,,,,
Hungary,Mauritius,HungaryMauritius,3,0,0,0,0,0,0,
Iceland,Mauritius,IcelandMauritius,0,0,3,0,0,0,0,
Ireland,Mauritius,IrelandMauritius,,15,17,14,15,51,,
Italy,Mauritius,ItalyMauritius,5,7,16,20,61,24,15,
Latvia,Mauritius,LatviaMauritius,0,0,0,1,1,0,0,
Lithuania,Mauritius,LithuaniaMauritius,0,0,0,0,0,,1,
Luxembourg,Mauritius,LuxembourgMauritius,110,124,97,77,95,73,62,
Malaysia,Mauritius,MalaysiaMauritius,126,105,97,56,33,26,44,41
Malta,Mauritius,MaltaMauritius,0,,,,7,,,
Netherlands,Mauritius,NetherlandsMauritius,73,129,160,193,105,113,88,
Poland,Mauritius,PolandMauritius,1,1,1,2,2,2,16,
Portugal,Mauritius,PortugalMauritius,5,7,9,19,26,24,10,
Romania,Mauritius,RomaniaMauritius,3,3,2,3,3,4,5,
